# Sample of 1000 probability pixels from cumulative_reduced3Dmap-64nside-2000max-100step.npz using dist method
# dec,ra,d_l,weight
1.424441,4.405593,800.000000,5.14287186e-12
1.424441,4.405593,800.000000,5.14287186e-12
1.424441,4.405593,800.000000,5.14287186e-12
1.966456,0.883573,600.000000,5.11309208e-12
1.424441,4.405593,1100.000000,5.09152044e-12
1.487366,4.405593,900.000000,5.08636215e-12
1.877674,0.859029,700.000000,5.04106346e-12
1.434962,4.393321,1200.000000,5.00378046e-12
1.434962,4.393321,1200.000000,5.00378046e-12
1.094677,5.730952,1200.000000,4.92539057e-12
1.094677,5.730952,1200.000000,4.92539057e-12
1.094677,5.730952,1200.000000,4.92539057e-12
1.476908,4.417865,800.000000,4.87122661e-12
1.476908,4.393321,1000.000000,4.84241241e-12
0.689753,5.171773,1500.000000,4.73916802e-12
0.676214,5.180607,1200.000000,4.70960384e-12
1.966456,0.908117,500.000000,4.70674117e-12
1.966456,0.908117,500.000000,4.70674117e-12
0.676214,5.120192,1600.000000,4.60141464e-12
1.497815,4.417865,1100.000000,4.58440384e-12
1.059184,5.743224,1000.000000,4.54835501e-12
1.476908,4.393321,1200.000000,4.53680257e-12
0.662706,5.158988,1600.000000,4.52166399e-12
0.662706,5.158988,1600.000000,4.52166399e-12
1.497815,4.417865,1000.000000,4.46351940e-12
1.071091,5.755496,1000.000000,4.45680116e-12
1.071091,5.755496,1000.000000,4.45680116e-12
0.689753,5.142135,1500.000000,4.43886140e-12
1.071091,5.755496,1100.000000,4.43279685e-12
1.455961,4.393321,800.000000,4.19394141e-12
1.413903,4.393321,1000.000000,4.13197360e-12
1.413903,4.393321,1000.000000,4.13197360e-12
1.413903,4.393321,1000.000000,4.13197360e-12
1.910633,0.895845,700.000000,4.13127142e-12
1.955193,0.895845,800.000000,4.13046984e-12
0.689753,5.171773,1600.000000,4.11876397e-12
0.676214,5.210815,1200.000000,4.11841160e-12
1.071091,5.730952,1000.000000,4.08180263e-12
0.676214,5.120192,1400.000000,4.06010504e-12
0.676214,5.120192,1400.000000,4.06010504e-12
1.497815,4.417865,1200.000000,3.99613018e-12
1.497815,4.417865,1200.000000,3.99613018e-12
1.082921,5.743224,1300.000000,3.98418811e-12
0.689753,5.142135,1600.000000,3.98268332e-12
1.071091,5.755496,900.000000,3.90376922e-12
1.476908,4.393321,900.000000,3.88766154e-12
1.455961,4.417865,1300.000000,3.87793289e-12
1.434962,4.417865,700.000000,3.87336396e-12
1.071091,5.755496,1200.000000,3.84103759e-12
1.071091,5.755496,1200.000000,3.84103759e-12
0.689753,5.171773,1300.000000,3.69788449e-12
1.497815,4.417865,900.000000,3.68827508e-12
0.676214,5.120192,1700.000000,3.67867125e-12
1.932819,0.871301,300.000000,3.66320070e-12
1.094677,5.730952,800.000000,3.63231993e-12
0.676214,5.210815,1700.000000,3.62524029e-12
2.106466,4.835107,900.000000,3.62091367e-12
1.445468,4.381049,1100.000000,3.56218487e-12
1.117980,5.730952,900.000000,3.52791169e-12
1.445468,4.381049,1000.000000,3.49724971e-12
0.662706,5.158988,1300.000000,3.47928553e-12
1.413903,4.393321,800.000000,3.46037033e-12
0.676214,5.150399,1200.000000,3.41126928e-12
0.662706,5.158988,1700.000000,3.38943375e-12
1.106363,5.743224,1200.000000,3.37151343e-12
1.466440,4.405593,1400.000000,3.37091862e-12
1.466440,4.430137,1100.000000,3.34810441e-12
1.424441,4.381049,1000.000000,3.30407098e-12
1.424441,4.381049,1000.000000,3.30407098e-12
1.424441,4.381049,1100.000000,3.16824243e-12
1.966456,0.883573,700.000000,3.15888605e-12
1.106363,5.718680,1200.000000,3.11683454e-12
1.487366,4.430137,1000.000000,3.07512266e-12
1.910633,0.822214,600.000000,3.06259720e-12
1.910633,0.822214,600.000000,3.06259720e-12
1.476908,4.417865,700.000000,3.05725517e-12
0.689753,5.142135,1700.000000,3.02282124e-12
0.689753,5.142135,1700.000000,3.02282124e-12
1.487366,4.430137,1100.000000,2.97938598e-12
1.434962,4.393321,700.000000,2.97394532e-12
1.434962,4.393321,700.000000,2.97394532e-12
2.143215,4.847379,800.000000,2.96311511e-12
1.955193,0.871301,400.000000,2.95852236e-12
1.059184,5.743224,800.000000,2.91371772e-12
1.445468,4.381049,900.000000,2.90548859e-12
1.403348,4.405593,900.000000,2.87175028e-12
1.403348,4.405593,900.000000,2.87175028e-12
1.413903,4.417865,800.000000,2.85669272e-12
1.071091,5.730952,1300.000000,2.84407780e-12
1.403348,4.405593,800.000000,2.83520172e-12
1.129532,5.718680,1000.000000,2.80568246e-12
2.118623,4.847379,800.000000,2.76923122e-12
1.866765,0.846757,700.000000,2.76487639e-12
1.445468,4.430137,1000.000000,2.75991104e-12
1.508256,4.405593,1100.000000,2.74648310e-12
1.508256,4.405593,1100.000000,2.74648310e-12
1.487366,4.430137,900.000000,2.70651899e-12
1.445468,4.405593,1400.000000,2.69590320e-12
1.899606,0.859029,300.000000,2.68071554e-12
2.130872,4.835107,1100.000000,2.67999675e-12
1.082921,5.743224,700.000000,2.66489556e-12
0.689753,5.201410,1500.000000,2.65989384e-12
0.662706,5.220588,1300.000000,2.62889351e-12
1.082921,5.743224,1400.000000,2.61221735e-12
1.413903,4.417865,700.000000,2.59139323e-12
1.403348,4.405593,1000.000000,2.56679194e-12
1.445468,4.405593,600.000000,2.53912365e-12
2.143215,4.847379,1100.000000,2.52270803e-12
1.082921,5.718680,1100.000000,2.51754617e-12
0.662706,5.220588,1400.000000,2.49158109e-12
1.424441,4.405593,1300.000000,2.47074007e-12
1.106363,5.718680,1300.000000,2.43884514e-12
1.106363,5.718680,1300.000000,2.43884514e-12
1.082921,5.718680,1000.000000,2.43625136e-12
1.094677,5.755496,1200.000000,2.37598274e-12
1.497815,4.393321,1100.000000,2.34450308e-12
1.955193,0.920388,600.000000,2.29730569e-12
1.445468,4.430137,1100.000000,2.29115240e-12
1.445468,4.430137,1100.000000,2.29115240e-12
0.676214,5.180607,1100.000000,2.25458103e-12
1.855893,0.834486,600.000000,2.24951291e-12
1.855893,0.834486,600.000000,2.24951291e-12
2.118623,4.847379,700.000000,2.23916824e-12
1.455961,4.417865,1400.000000,2.23771930e-12
1.424441,4.381049,800.000000,2.22830200e-12
0.662706,5.158988,1200.000000,2.19001350e-12
